alternative_id,subtype,lab_id,cell_line_name,bam_id,is_hypermutated
CGOV10T,mixed,10T,IGROV-1,CGOV10T.bam,TRUE
CGOV12T,clear cell,12T,KOC-7C,CGOV12T.bam,TRUE
CGOV13T,undifferentiated,13T,Kuramochi,CGOV13T.bam,FALSE
CGOV14T,mucinous,14T,MCAS,CGOV14T.bam,FALSE
CGOV15T,unclassified,15T,OAW-28,CGOV15T.bam,FALSE
CGOV16T,serous,16T,OAW-42,CGOV16T.bam,FALSE
CGOV17T,serous,17T,OV-167,CGOV17T.bam,FALSE
CGOV18T,serous,18T,OV177,CGOV18T.bam,FALSE
CGOV1T,unclassified,1T,A2780,CGOV1T.bam,FALSE
CGOV20T,clear cell,20T,OV207,CGOV20T.bam,FALSE
CGOV21T,serous,21T,OV-90,CGOV21T.bam,FALSE
CGOV23T,serous,23T,OVCA-429,CGOV23T.bam,FALSE
CGOV25T,serous,25T,OVCAR-3,CGOV25T.bam,FALSE
CGOV26T,unclassified,26T,OVCAR-5,CGOV26T.bam,FALSE
CGOV27T,clear cell,27T,OVISE,CGOV27T.bam,FALSE
CGOV28T,serous,28T,OVKATE,CGOV28T.bam,FALSE
CGOV29T,clear cell,29T,OVMANA,CGOV29T.bam,FALSE
CGOV2T,unclassified,2T,Caov-3,CGOV2T.bam,FALSE
CGOV30T,serous,30T,OVSAHO,CGOV30T.bam,FALSE
CGOV31T,clear cell,31T,OVTOKO,CGOV31T.bam,FALSE
CGOV32T,serous,32T,PEO-14,CGOV32T.bam,FALSE
CGOV33T,unclassified,33T,PEA2,CGOV33T.bam,FALSE
CGOV34T,serous,34T,PEO-6,CGOV34T.bam,FALSE
CGOV35T,clear cell,35T,RMG-I,CGOV35T.bam,FALSE
CGOV36T,mucinous,36T,RMUG-S,CGOV36T.bam,FALSE
CGOV38T,endometrioid,38T,TOV-112D,CGOV38T.bam,FALSE
CGOV39T,clear cell,39T,TOV-21G,CGOV39T.bam,TRUE
CGOV3T,unclassified,3T,COLO-704,CGOV3T.bam,TRUE
CGOV40T,undifferentiated,40T,TYK-nu,CGOV40T.bam,FALSE
CGOV42T,unclassified,42T,OVCAR-8,CGOV42T.bam,FALSE
CGOV44T,serous,44T,FU-OV-1,CGOV44T.bam,FALSE
CGOV45T,serous,45T,COV-318,CGOV45T.bam,FALSE
CGOV46T,serous,46T,JHOS-2,CGOV46T.bam,FALSE
CGOV47T,serous,47T,JHOS-4,CGOV47T.bam,FALSE
CGOV48T,mucinous,48T,JHOM-1,CGOV48T.bam,FALSE
CGOV49T,endometrioid,49T,OVK-18,CGOV49T.bam,TRUE
CGOV4T,serous,4T,DOV-13,CGOV4T.bam,FALSE
CGOV53T,unclassified,53T,OVCAR-5-CisR,CGOV53T.bam,FALSE
CGOV5T,serous,5T,EFO-21,CGOV5T.bam,FALSE
CGOV6T,serous,6T,EFO-27,CGOV6T.bam,TRUE
CGOV7T,clear cell,7T,ES-2,CGOV7T.bam,FALSE
CGOV8T,serous,8T,HEY,CGOV8T.bam,FALSE
CGOV37T_3,unclassified,37T3,SK-OV-3,CGOV37T_3.bam,FALSE
CGOV11T_1,clear cell,11T1,KK,CGOV11T_1.bam,FALSE
CGOV92T,serous,92T,JHOS-3,CGOV92T.bam,FALSE
